MANDT,MBLNR,MJAHR,ZEILE,BWART,XAUTO,MATNR,WERKS,LGORT,CHARG,INSMK,ZUSCH,ZUSTD,SOBKZ,LIFNR,KUNNR,KDAUF,KDPOS,KDEIN,PLPLA,SHKZG,WAERS,DMBTR,BNBTR,BUALT,SHKUM,DMBUM,BWTAR,MENGE,MEINS,ERFMG,ERFME,BPMNG,BPRME,EBELN,EBELP,LFBJA,LFBNR,LFPOS,SJAHR,SMBLN,SMBLP,ELIKZ,SGTXT,EQUNR,WEMPF,ABLAD,GSBER,KOKRS,PARGB,PARBU,KOSTL,PROJN,AUFNR,ANLN1,ANLN2,XSKST,XSAUF,XSPRO,XSERG,GJAHR,XRUEM,XRUEJ,BUKRS,BELNR,BUZEI,BELUM,BUZUM,RSNUM,RSPOS,KZEAR,PBAMG,KZSTR,UMMAT,UMWRK,UMLGO,UMCHA,UMZST,UMZUS,UMBAR,UMSOK,KZBEW,KZVBR,KZZUG,WEUNB,PALAN,LGNUM,LGTYP,LGPLA,BESTQ,BWLVS,TBNUM,TBPOS,XBLVS,VSCHN,NSCHN,DYPLA,UBNUM,TBPRI
670,4900002060,2018,1,561,,TRWA1001,DL00,SF00,,,,,E,,,,0,0,,S,USD,"       4,518.80",0.0,"         4,518.80",,0.0,,          40.000,EA,          40.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,2,561,,TRFR2001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"      20,000.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,3,561,,DGAM1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"       7,500.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,4,561,,TRSK1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"       5,000.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,5,561,,TRHB1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"       2,500.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,6,561,,PEDL1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"       4,500.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,7,561,,CHAN1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"       1,000.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,8,561,,BRKT1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,"       7,000.00",0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,9,561,,WDOC1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,         100.00,0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002060,2018,10,561,,PCKG1001,DL00,RM00,,,,,E,,,,0,0,,S,USD,         350.00,0.0,             0.00,,0.0,,         100.000,EA,         100.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2018,,,US00,,0,,0,0,0,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002061,2018,1,261,,TRWA1001,DL00,SF00,,,,,E,,,,0,0,,H,USD,"       4,518.80",0.0,"         4,518.80",,0.0,,          40.000,EA,          40.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,BI00,,,,1000001.0,,,,,,,2018,,,US00,,0,,0,21,1,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002061,2018,2,261,,TRFR2001,DL00,RM00,,,,,E,,,,0,0,,H,USD,"       4,000.00",0.0,             0.00,,0.0,,          20.000,EA,          20.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,BI00,,,,1000001.0,,,,,,,2018,,,US00,,0,,0,21,2,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002061,2018,3,261,,DGAM1001,DL00,RM00,,,,,E,,,,0,0,,H,USD,"       1,500.00",0.0,             0.00,,0.0,,          20.000,EA,          20.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,BI00,,,,1000001.0,,,,,,,2018,,,US00,,0,,0,21,3,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
670,4900002061,2018,4,261,,TRSK1001,DL00,RM00,,,,,E,,,,0,0,,H,USD,"       1,000.00",0.0,             0.00,,0.0,,          20.000,EA,          20.000,EA,           0.000,,,0,0,,0,0,,0,,,,,,BI00,NA00,BI00,,,,1000001.0,,,,,,,2018,,,US00,,0,,0,21,4,,0.0,2,,,,,,,,,,,,,0,,,,,0,0,0,,,,,0,
